entry_cap_cents,take_profit_cents,stop_loss_cents,hour_close_utc,entry_time_utc,entry_minute_of_hour,exit_time_utc,exit_minute_of_hour,exit_reason,spot_entry,spot_exit,low_exchange,low_market_key,low_strike,high_exchange,high_market_key,high_strike,width_usd,midpoint_distance_ratio,low_no_ask_cents,high_yes_ask_cents,entry_cost_raw_cents,entry_cost_fee_aware_usd_10sh,exit_low_no_bid_cents,exit_high_yes_bid_cents,exit_value_fee_aware_usd_10sh,realized_pnl_usd_10sh,realized_pnl_cents_per_share,latency_seconds
45.0,15.0,10.0,2026-04-06T22:00:00Z,2026-04-06T21:14:42Z,14.7,2026-04-06T21:14:43Z,14.717,stop_loss,69720.37,69720.37,polymarket,bitcoin-above-69600-on-april-6-2026-6pm-et,69600.0,kalshi,KXBTCD-26APR0618-T69899.99,69900.0,300.0,0.098767,29.0,15.0,44.0,4.6382,19.0,14.0,3.0992,-1.5391,-15.3906,1.0
45.0,20.0,10.0,2026-04-06T22:00:00Z,2026-04-06T21:14:42Z,14.7,2026-04-06T21:14:43Z,14.717,stop_loss,69720.37,69720.37,polymarket,bitcoin-above-69600-on-april-6-2026-6pm-et,69600.0,kalshi,KXBTCD-26APR0618-T69899.99,69900.0,300.0,0.098767,29.0,15.0,44.0,4.6382,19.0,14.0,3.0992,-1.5391,-15.3906,1.0
50.0,15.0,10.0,2026-04-06T22:00:00Z,2026-04-06T21:08:26Z,8.433,2026-04-06T21:08:27Z,8.45,stop_loss,69725.9,69725.9,polymarket,bitcoin-above-69600-on-april-6-2026-6pm-et,69600.0,kalshi,KXBTCD-26APR0618-T69899.99,69900.0,300.0,0.080333,29.0,20.0,49.0,5.1682,19.0,19.0,3.5792,-1.5891,-15.8906,1.0
50.0,20.0,10.0,2026-04-06T22:00:00Z,2026-04-06T21:08:26Z,8.433,2026-04-06T21:08:27Z,8.45,stop_loss,69725.9,69725.9,polymarket,bitcoin-above-69600-on-april-6-2026-6pm-et,69600.0,kalshi,KXBTCD-26APR0618-T69899.99,69900.0,300.0,0.080333,29.0,20.0,49.0,5.1682,19.0,19.0,3.5792,-1.5891,-15.8906,1.0
55.0,15.0,10.0,2026-04-06T22:00:00Z,2026-04-06T21:06:18Z,6.3,2026-04-06T21:06:19Z,6.317,stop_loss,69743.0,69743.0,polymarket,bitcoin-above-69600-on-april-6-2026-6pm-et,69600.0,kalshi,KXBTCD-26APR0618-T69899.99,69900.0,300.0,0.023333,29.0,25.0,54.0,5.6882,19.0,23.0,3.9592,-1.7291,-17.2906,1.0
55.0,20.0,10.0,2026-04-06T22:00:00Z,2026-04-06T21:06:18Z,6.3,2026-04-06T21:06:19Z,6.317,stop_loss,69743.0,69743.0,polymarket,bitcoin-above-69600-on-april-6-2026-6pm-et,69600.0,kalshi,KXBTCD-26APR0618-T69899.99,69900.0,300.0,0.023333,29.0,25.0,54.0,5.6882,19.0,23.0,3.9592,-1.7291,-17.2906,1.0
45.0,15.0,10.0,2026-04-07T13:00:00Z,2026-04-07T12:09:05Z,9.083,2026-04-07T12:09:06Z,9.1,stop_loss,68131.52,68131.53,polymarket,bitcoin-above-68000-on-april-7-2026-9am-et,68000.0,kalshi,KXBTCD-26APR0709-T68299.99,68300.0,300.0,0.0616,13.0,30.0,43.0,4.5314,7.0,30.0,3.5031,-1.0283,-10.283,1.0
45.0,20.0,10.0,2026-04-07T13:00:00Z,2026-04-07T12:09:05Z,9.083,2026-04-07T12:09:06Z,9.1,stop_loss,68131.52,68131.53,polymarket,bitcoin-above-68000-on-april-7-2026-9am-et,68000.0,kalshi,KXBTCD-26APR0709-T68299.99,68300.0,300.0,0.0616,13.0,30.0,43.0,4.5314,7.0,30.0,3.5031,-1.0283,-10.283,1.0
50.0,15.0,10.0,2026-04-07T13:00:00Z,2026-04-07T12:09:05Z,9.083,2026-04-07T12:09:06Z,9.1,stop_loss,68131.52,68131.53,polymarket,bitcoin-above-68000-on-april-7-2026-9am-et,68000.0,kalshi,KXBTCD-26APR0709-T68299.99,68300.0,300.0,0.0616,13.0,30.0,43.0,4.5314,7.0,30.0,3.5031,-1.0283,-10.283,1.0
50.0,20.0,10.0,2026-04-07T13:00:00Z,2026-04-07T12:09:05Z,9.083,2026-04-07T12:09:06Z,9.1,stop_loss,68131.52,68131.53,polymarket,bitcoin-above-68000-on-april-7-2026-9am-et,68000.0,kalshi,KXBTCD-26APR0709-T68299.99,68300.0,300.0,0.0616,13.0,30.0,43.0,4.5314,7.0,30.0,3.5031,-1.0283,-10.283,1.0
55.0,15.0,10.0,2026-04-07T13:00:00Z,2026-04-07T12:09:05Z,9.083,2026-04-07T12:09:06Z,9.1,stop_loss,68131.52,68131.53,polymarket,bitcoin-above-68000-on-april-7-2026-9am-et,68000.0,kalshi,KXBTCD-26APR0709-T68299.99,68300.0,300.0,0.0616,13.0,30.0,43.0,4.5314,7.0,30.0,3.5031,-1.0283,-10.283,1.0
55.0,20.0,10.0,2026-04-07T13:00:00Z,2026-04-07T12:09:05Z,9.083,2026-04-07T12:09:06Z,9.1,stop_loss,68131.52,68131.53,polymarket,bitcoin-above-68000-on-april-7-2026-9am-et,68000.0,kalshi,KXBTCD-26APR0709-T68299.99,68300.0,300.0,0.0616,13.0,30.0,43.0,4.5314,7.0,30.0,3.5031,-1.0283,-10.283,1.0
