hour_close_utc,seconds_in_entry_window,geometry_seconds_width_100_300,geometry_seconds_midpoint_ok,geometry_seconds_full_guardrails,had_any_full_guardrails,best_entry_cost_cents,best_entry_width_usd,best_entry_direction,best_entry_spot,chunk
2026-03-29T00:00:00Z,901,532,124,4,True,46.0,200.0,polymarket_low__kalshi_high,66495.04,chunk_001_084
2026-03-29T01:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T02:00:00Z,901,634,0,0,False,,,,,chunk_001_084
2026-03-29T03:00:00Z,901,637,10,0,False,,,,,chunk_001_084
2026-03-29T04:00:00Z,901,547,0,0,False,,,,,chunk_001_084
2026-03-29T05:00:00Z,901,320,0,0,False,,,,,chunk_001_084
2026-03-29T06:00:00Z,901,116,0,0,False,,,,,chunk_001_084
2026-03-29T07:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T08:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T09:00:00Z,901,155,0,0,False,,,,,chunk_001_084
2026-03-29T10:00:00Z,901,552,0,0,False,,,,,chunk_001_084
2026-03-29T11:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T12:00:00Z,901,264,11,0,False,,,,,chunk_001_084
2026-03-29T13:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T14:00:00Z,901,408,135,130,True,41.0,300.0,polymarket_low__kalshi_high,66569.93,chunk_001_084
2026-03-29T15:00:00Z,901,199,0,0,False,,,,,chunk_001_084
2026-03-29T16:00:00Z,901,5,0,0,False,,,,,chunk_001_084
2026-03-29T17:00:00Z,901,161,0,0,False,,,,,chunk_001_084
2026-03-29T18:00:00Z,901,316,0,0,False,,,,,chunk_001_084
2026-03-29T19:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T20:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T21:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T22:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-29T23:00:00Z,901,635,300,32,True,40.0,300.0,polymarket_low__kalshi_high,66328.0,chunk_001_084
2026-03-30T00:00:00Z,901,566,18,0,False,,,,,chunk_001_084
2026-03-30T01:00:00Z,901,447,0,0,False,,,,,chunk_001_084
2026-03-30T02:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-30T03:00:00Z,901,453,33,0,False,,,,,chunk_001_084
2026-03-30T04:00:00Z,901,656,138,0,False,,,,,chunk_001_084
2026-03-30T05:00:00Z,901,534,118,0,False,,,,,chunk_001_084
2026-03-30T06:00:00Z,901,65,0,0,False,,,,,chunk_001_084
2026-03-30T07:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-30T08:00:00Z,901,105,0,0,False,,,,,chunk_001_084
2026-03-30T09:00:00Z,901,852,291,0,False,,,,,chunk_001_084
2026-03-30T10:00:00Z,901,709,0,0,False,,,,,chunk_001_084
2026-03-30T11:00:00Z,901,516,0,0,False,,,,,chunk_001_084
2026-03-30T12:00:00Z,901,728,0,0,False,,,,,chunk_001_084
2026-03-30T13:00:00Z,901,578,395,0,False,,,,,chunk_001_084
2026-03-30T14:00:00Z,901,465,0,0,False,,,,,chunk_001_084
2026-03-30T15:00:00Z,901,781,318,0,False,,,,,chunk_001_084
2026-03-30T16:00:00Z,901,639,330,0,False,,,,,chunk_001_084
2026-03-30T17:00:00Z,901,786,367,0,False,,,,,chunk_001_084
2026-03-30T18:00:00Z,901,479,20,18,True,49.0,300.0,polymarket_low__kalshi_high,67162.85,chunk_001_084
2026-03-30T19:00:00Z,901,799,268,0,False,,,,,chunk_001_084
2026-03-30T20:00:00Z,901,644,272,27,True,51.0,300.0,polymarket_low__kalshi_high,66523.99,chunk_001_084
2026-03-30T21:00:00Z,901,901,418,0,False,,,,,chunk_001_084
2026-03-30T22:00:00Z,901,79,0,0,False,,,,,chunk_001_084
2026-03-30T23:00:00Z,901,481,314,199,True,43.0,300.0,polymarket_low__kalshi_high,66729.09,chunk_001_084
2026-03-31T00:00:00Z,901,800,581,0,False,,,,,chunk_001_084
2026-03-31T01:00:00Z,901,277,17,17,True,46.0,300.0,polymarket_low__kalshi_high,66570.68,chunk_001_084
2026-03-31T02:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T03:00:00Z,901,725,118,0,False,,,,,chunk_001_084
2026-03-31T04:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T05:00:00Z,901,207,0,0,False,,,,,chunk_001_084
2026-03-31T06:00:00Z,901,230,0,0,False,,,,,chunk_001_084
2026-03-31T07:00:00Z,901,607,402,0,False,,,,,chunk_001_084
2026-03-31T08:00:00Z,901,115,0,0,False,,,,,chunk_001_084
2026-03-31T09:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T10:00:00Z,901,760,362,0,False,,,,,chunk_001_084
2026-03-31T11:00:00Z,901,129,0,0,False,,,,,chunk_001_084
2026-03-31T12:00:00Z,901,507,107,0,False,,,,,chunk_001_084
2026-03-31T13:00:00Z,901,280,33,0,False,,,,,chunk_001_084
2026-03-31T14:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T15:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T16:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T17:00:00Z,901,0,0,0,False,,,,,chunk_001_084
2026-03-31T18:00:00Z,901,615,397,0,False,,,,,chunk_001_084
2026-03-31T19:00:00Z,901,377,0,0,False,,,,,chunk_001_084
2026-03-31T20:00:00Z,901,421,0,0,False,,,,,chunk_001_084
2026-03-31T21:00:00Z,901,487,46,0,False,,,,,chunk_001_084
2026-03-31T22:00:00Z,901,118,0,0,False,,,,,chunk_001_084
2026-03-31T23:00:00Z,901,645,122,0,False,,,,,chunk_001_084
2026-04-01T00:00:00Z,901,584,426,0,False,,,,,chunk_001_084
