entry_cap_cents,take_profit_cents,stop_loss_cents,entries,win_count,loss_count,flat_count,win_rate_pct,take_profit_count,stop_loss_count,time_stop_count,total_realized_pnl_usd_10sh,avg_realized_pnl_usd_10sh,median_realized_pnl_usd_10sh,median_entry_cost_fee_aware_usd_10sh,median_entry_cost_raw_cents,median_width_usd,median_entry_minute,median_latency_seconds,poly_low_kalshi_high_count,kalshi_low_poly_high_count
45.0,15.0,10.0,12,1,11,0,8.333,1,11,0,-12.9616,-1.0801,-1.4512,4.6425,44.0,300.0,8.2415,1.0,10,2
45.0,20.0,10.0,12,1,11,0,8.333,1,11,0,-12.9616,-1.0801,-1.4512,4.6425,44.0,300.0,8.2415,1.0,10,2
50.0,15.0,10.0,17,1,16,0,5.882,1,16,0,-21.6923,-1.276,-1.4881,4.8575,46.0,300.0,8.6,1.0,14,3
50.0,20.0,10.0,17,1,16,0,5.882,1,16,0,-21.6923,-1.276,-1.4881,4.8575,46.0,300.0,8.6,1.0,14,3
55.0,15.0,10.0,19,2,17,0,10.526,1,17,1,-23.1003,-1.2158,-1.4693,4.8613,46.0,300.0,8.6,1.0,15,4
55.0,20.0,10.0,19,2,17,0,10.526,1,17,1,-23.1003,-1.2158,-1.4693,4.8613,46.0,300.0,8.6,1.0,15,4
