hour_close_utc,seconds_in_entry_window,geometry_seconds_width_100_300,geometry_seconds_midpoint_ok,geometry_seconds_full_guardrails,had_any_full_guardrails,best_entry_cost_cents,best_entry_width_usd,best_entry_direction,best_entry_spot
2026-04-08T12:00:00Z,901,0,0,0,False,,,,
2026-04-08T13:00:00Z,901,585,116,0,False,,,,
2026-04-08T14:00:00Z,901,559,322,0,False,,,,
2026-04-08T15:00:00Z,901,646,241,0,False,,,,
2026-04-08T16:00:00Z,901,845,397,0,False,,,,
2026-04-08T17:00:00Z,901,626,47,0,False,,,,
2026-04-08T18:00:00Z,901,856,590,0,False,,,,
2026-04-08T19:00:00Z,901,84,0,0,False,,,,
2026-04-08T20:00:00Z,901,567,215,0,False,,,,
2026-04-08T21:00:00Z,901,0,0,0,False,,,,
2026-04-08T22:00:00Z,901,228,0,0,False,,,,
2026-04-08T23:00:00Z,901,496,0,0,False,,,,
2026-04-09T00:00:00Z,901,619,317,0,False,,,,
2026-04-09T01:00:00Z,901,62,0,0,False,,,,
2026-04-09T02:00:00Z,901,445,158,0,False,,,,
2026-04-09T03:00:00Z,901,414,0,0,False,,,,
2026-04-09T04:00:00Z,901,0,0,0,False,,,,
2026-04-09T05:00:00Z,901,16,0,0,False,,,,
2026-04-09T10:00:00Z,901,170,0,0,False,,,,
2026-04-09T11:00:00Z,901,627,196,0,False,,,,
2026-04-09T12:00:00Z,901,438,0,0,False,,,,
2026-04-09T13:00:00Z,901,0,0,0,False,,,,
2026-04-09T14:00:00Z,901,0,0,0,False,,,,
2026-04-09T15:00:00Z,901,712,495,0,False,,,,
2026-04-09T16:00:00Z,901,571,214,0,False,,,,
2026-04-09T17:00:00Z,901,773,374,0,False,,,,
2026-04-09T18:00:00Z,901,828,627,0,False,,,,
2026-04-09T19:00:00Z,901,725,174,0,False,,,,
2026-04-09T20:00:00Z,901,16,0,0,False,,,,
2026-04-09T21:00:00Z,901,0,0,0,False,,,,
2026-04-09T22:00:00Z,901,345,56,43,True,40.0,300.0,kalshi_low__polymarket_high,72672.61
2026-04-09T23:00:00Z,901,576,209,0,False,,,,
2026-04-10T00:00:00Z,901,879,484,0,False,,,,
2026-04-10T01:00:00Z,901,0,0,0,False,,,,
2026-04-10T02:00:00Z,901,374,147,0,False,,,,
2026-04-10T03:00:00Z,901,827,328,0,False,,,,
2026-04-10T04:00:00Z,901,782,654,227,True,42.0,300.0,polymarket_low__kalshi_high,71923.69
2026-04-10T05:00:00Z,901,261,0,0,False,,,,
2026-04-10T06:00:00Z,901,201,0,0,False,,,,
2026-04-10T07:00:00Z,901,339,0,0,False,,,,
2026-04-10T08:00:00Z,901,0,0,0,False,,,,
2026-04-10T09:00:00Z,901,868,328,0,False,,,,
2026-04-10T10:00:00Z,901,666,0,0,False,,,,
2026-04-10T11:00:00Z,901,0,0,0,False,,,,
2026-04-10T12:00:00Z,901,875,408,0,False,,,,
2026-04-10T13:00:00Z,901,51,0,0,False,,,,
2026-04-10T14:00:00Z,901,0,0,0,False,,,,
2026-04-10T15:00:00Z,901,684,447,30,True,52.0,300.0,kalshi_low__polymarket_high,72678.32
2026-04-10T16:00:00Z,901,132,0,0,False,,,,
2026-04-10T17:00:00Z,901,823,440,0,False,,,,
2026-04-10T18:00:00Z,901,203,0,0,False,,,,
2026-04-10T19:00:00Z,901,738,231,0,False,,,,
2026-04-10T20:00:00Z,901,769,85,0,False,,,,
2026-04-10T21:00:00Z,901,0,0,0,False,,,,
2026-04-10T22:00:00Z,901,680,304,0,False,,,,
2026-04-10T23:00:00Z,901,596,46,0,False,,,,
2026-04-11T00:00:00Z,901,0,0,0,False,,,,
2026-04-11T01:00:00Z,901,0,0,0,False,,,,
2026-04-11T02:00:00Z,901,0,0,0,False,,,,
2026-04-11T03:00:00Z,901,0,0,0,False,,,,
2026-04-11T04:00:00Z,901,0,0,0,False,,,,
2026-04-11T05:00:00Z,901,208,0,0,False,,,,
2026-04-11T06:00:00Z,901,6,0,0,False,,,,
2026-04-11T07:00:00Z,901,698,0,0,False,,,,
2026-04-11T08:00:00Z,901,0,0,0,False,,,,
2026-04-11T09:00:00Z,901,0,0,0,False,,,,
2026-04-11T10:00:00Z,901,0,0,0,False,,,,
2026-04-11T11:00:00Z,901,0,0,0,False,,,,
2026-04-11T12:00:00Z,901,0,0,0,False,,,,
2026-04-11T13:00:00Z,901,755,0,0,False,,,,
2026-04-11T14:00:00Z,901,283,66,0,False,,,,
2026-04-11T15:00:00Z,901,406,0,0,False,,,,
2026-04-11T16:00:00Z,901,111,0,0,False,,,,
2026-04-11T17:00:00Z,901,0,0,0,False,,,,
2026-04-11T18:00:00Z,901,0,0,0,False,,,,
2026-04-11T19:00:00Z,901,746,0,0,False,,,,
2026-04-11T20:00:00Z,901,51,0,0,False,,,,
2026-04-11T21:00:00Z,901,62,0,0,False,,,,
2026-04-11T22:00:00Z,901,0,0,0,False,,,,
2026-04-11T23:00:00Z,901,494,0,0,False,,,,
