entry_cap_cents,take_profit_cents,stop_loss_cents,hour_close_utc,entry_time_utc,entry_minute_of_hour,exit_time_utc,exit_minute_of_hour,exit_reason,spot_entry,spot_exit,low_exchange,low_market_key,low_strike,high_exchange,high_market_key,high_strike,width_usd,midpoint_distance_ratio,low_no_ask_cents,high_yes_ask_cents,entry_cost_raw_cents,entry_cost_fee_aware_usd_10sh,exit_low_no_bid_cents,exit_high_yes_bid_cents,exit_value_fee_aware_usd_10sh,realized_pnl_usd_10sh,realized_pnl_cents_per_share,latency_seconds
45.0,15.0,10.0,2026-04-09T22:00:00Z,2026-04-09T21:07:14Z,7.233,2026-04-09T21:07:15Z,7.25,take_profit,72663.87,72662.2,kalshi,KXBTCD-26APR0918-T72499.99,72500.0,polymarket,bitcoin-above-72800-on-april-9-2026-6pm-et,72800.0,300.0,0.046233,28.0,16.0,44.0,4.6468,70.0,7.0,7.5031,2.8564,28.5636,1.0
45.0,20.0,10.0,2026-04-09T22:00:00Z,2026-04-09T21:07:14Z,7.233,2026-04-09T21:07:15Z,7.25,take_profit,72663.87,72662.2,kalshi,KXBTCD-26APR0918-T72499.99,72500.0,polymarket,bitcoin-above-72800-on-april-9-2026-6pm-et,72800.0,300.0,0.046233,28.0,16.0,44.0,4.6468,70.0,7.0,7.5031,2.8564,28.5636,1.0
50.0,15.0,10.0,2026-04-09T22:00:00Z,2026-04-09T21:07:14Z,7.233,2026-04-09T21:07:15Z,7.25,take_profit,72663.87,72662.2,kalshi,KXBTCD-26APR0918-T72499.99,72500.0,polymarket,bitcoin-above-72800-on-april-9-2026-6pm-et,72800.0,300.0,0.046233,28.0,16.0,44.0,4.6468,70.0,7.0,7.5031,2.8564,28.5636,1.0
50.0,20.0,10.0,2026-04-09T22:00:00Z,2026-04-09T21:07:14Z,7.233,2026-04-09T21:07:15Z,7.25,take_profit,72663.87,72662.2,kalshi,KXBTCD-26APR0918-T72499.99,72500.0,polymarket,bitcoin-above-72800-on-april-9-2026-6pm-et,72800.0,300.0,0.046233,28.0,16.0,44.0,4.6468,70.0,7.0,7.5031,2.8564,28.5636,1.0
55.0,15.0,10.0,2026-04-09T22:00:00Z,2026-04-09T21:07:14Z,7.233,2026-04-09T21:07:15Z,7.25,take_profit,72663.87,72662.2,kalshi,KXBTCD-26APR0918-T72499.99,72500.0,polymarket,bitcoin-above-72800-on-april-9-2026-6pm-et,72800.0,300.0,0.046233,28.0,16.0,44.0,4.6468,70.0,7.0,7.5031,2.8564,28.5636,1.0
55.0,20.0,10.0,2026-04-09T22:00:00Z,2026-04-09T21:07:14Z,7.233,2026-04-09T21:07:15Z,7.25,take_profit,72663.87,72662.2,kalshi,KXBTCD-26APR0918-T72499.99,72500.0,polymarket,bitcoin-above-72800-on-april-9-2026-6pm-et,72800.0,300.0,0.046233,28.0,16.0,44.0,4.6468,70.0,7.0,7.5031,2.8564,28.5636,1.0
45.0,15.0,10.0,2026-04-10T04:00:00Z,2026-04-10T03:06:04Z,6.067,2026-04-10T03:06:05Z,6.083,stop_loss,71930.01,71930.01,polymarket,bitcoin-above-71800-on-april-10-2026-12am-et,71800.0,kalshi,KXBTCD-26APR1000-T72099.99,72100.0,300.0,0.066633,21.0,24.0,45.0,4.7494,13.0,23.0,3.3886,-1.3609,-13.6088,1.0
45.0,20.0,10.0,2026-04-10T04:00:00Z,2026-04-10T03:06:04Z,6.067,2026-04-10T03:06:05Z,6.083,stop_loss,71930.01,71930.01,polymarket,bitcoin-above-71800-on-april-10-2026-12am-et,71800.0,kalshi,KXBTCD-26APR1000-T72099.99,72100.0,300.0,0.066633,21.0,24.0,45.0,4.7494,13.0,23.0,3.3886,-1.3609,-13.6088,1.0
50.0,15.0,10.0,2026-04-10T04:00:00Z,2026-04-10T03:04:58Z,4.967,2026-04-10T03:04:59Z,4.983,stop_loss,71954.88,71954.87,polymarket,bitcoin-above-71800-on-april-10-2026-12am-et,71800.0,kalshi,KXBTCD-26APR1000-T72099.99,72100.0,300.0,0.016267,21.0,29.0,50.0,5.2694,13.0,26.0,3.6786,-1.5909,-15.9088,1.0
50.0,20.0,10.0,2026-04-10T04:00:00Z,2026-04-10T03:04:58Z,4.967,2026-04-10T03:04:59Z,4.983,stop_loss,71954.88,71954.87,polymarket,bitcoin-above-71800-on-april-10-2026-12am-et,71800.0,kalshi,KXBTCD-26APR1000-T72099.99,72100.0,300.0,0.016267,21.0,29.0,50.0,5.2694,13.0,26.0,3.6786,-1.5909,-15.9088,1.0
