entry_cap_cents,take_profit_cents,stop_loss_cents,entries,win_count,loss_count,flat_count,win_rate_pct,take_profit_count,stop_loss_count,time_stop_count,total_realized_pnl_usd_10sh,avg_realized_pnl_usd_10sh,median_realized_pnl_usd_10sh,median_entry_cost_fee_aware_usd_10sh,median_entry_cost_raw_cents,median_width_usd,median_entry_minute,median_latency_seconds,poly_low_kalshi_high_count,kalshi_low_poly_high_count
45.0,15.0,10.0,4,0,4,0,0.0,0,4,0,-5.4104,-1.3526,-1.3433,4.5415,43.0,300.0,6.433,1.0,3,1
45.0,20.0,10.0,4,0,4,0,0.0,0,4,0,-5.4104,-1.3526,-1.3433,4.5415,43.0,300.0,6.433,1.0,3,1
50.0,15.0,10.0,5,0,5,0,0.0,0,5,0,-7.0409,-1.4082,-1.4398,4.7468,45.0,300.0,7.75,1.0,3,2
50.0,20.0,10.0,5,0,5,0,0.0,0,5,0,-7.0409,-1.4082,-1.4398,4.7468,45.0,300.0,7.75,1.0,3,2
55.0,15.0,10.0,5,0,5,0,0.0,0,5,0,-7.6454,-1.5291,-1.4881,4.7468,45.0,300.0,7.75,1.0,3,2
55.0,20.0,10.0,5,0,5,0,0.0,0,5,0,-7.6454,-1.5291,-1.4881,4.7468,45.0,300.0,7.75,1.0,3,2
